Rank,Item,Major Group,Family Group,Menu Class,Total Net Sales,Total Qty Sold,Avg Price,Discount,Discount Pct,Rev Contribution Pct,Cumulative Rev Pct
1,Oxtail,Food,Main Grill,Star,7253489.8,23064,314.49,-51981.009999999995,-0.71,2.4636,2.4636
2,Grilled Salmon ,Food,Main Sea Food,Star,6903685.359999999,21122,326.85,-68896.76999999999,-0.99,2.3448,4.8084
3,Chalmar T-Bone 500g,Food,Main Grill,Star,5261985.63,15884,331.28,-27394.32,-0.52,1.7872,6.5956
4,Full English Breakfast,Food,Breakfast,Star,5257361.81,19529,269.21,-96045.85,-1.79,1.7857,8.3813
5,800g Pork Ribs,Food,Main Grill,Star,4982206.9,15409,323.33,-47220.380000000005,-0.94,1.6922,10.0735
6,Guest Bar Snack,Food,Banqueting - Cocktail ,Star,4767709.83,26963,176.82,-8950.27,-0.19,1.6193,11.6928
7,Grilled Chicken Thigh,Food,Main Poultry,Star,4685823.78,25179,186.1,-30894.120000000003,-0.65,1.5915,13.2843
8,Moet & Chandon Nectar ,Beverage,Ent - Sparkling Wine,Star,4657832.02,3548,1312.8,-73167.5,-1.55,1.582,14.8663
9,Veuve Clicquot Yellow Label ,Beverage,Ent - Sparkling Wine,Star,4594305.18,3326,1381.33,-70574.7,-1.51,1.5604,16.4267
10,Veuve Clicquot Rich ,Beverage,Ent - Sparkling Wine,Star,4443053.74,3065,1449.61,-53203.68,-1.18,1.5091,17.9358
11,Meat Platter for 4,Food,Main Specials,Star,4399324.34,4135,1063.92,-39538.54,-0.89,1.4942,19.43
12,Chalmar Rib Eye 350g,Food,Main Grill,Star,4154134.54,12958,320.58,-25335.190000000002,-0.61,1.4109,20.8409
13,Lamb Loin Cutlets 330g,Food,Main Grill,Star,3887288.71,11851,328.01,-29567.88,-0.75,1.3203,22.1612
14,Braised Lamb Shank ,Food,Main Grill,Star,3864382.87,11030,350.35,-30045.48,-0.77,1.3125,23.4737
15,Fish & Chips,Food,Main Sea Food,Star,3649833.5100000002,21891,166.73,-18942.45,-0.52,1.2397,24.7134
16,Hennessy Vsop ,Beverage,Ent - Cognac,Star,3644820.6799999997,18941,192.43,-24078.910000000003,-0.66,1.238,25.9514
17,Grilled Baby Kingklip,Food,Main Sea Food,Star,3470737.99,12061,287.77,-36520.67,-1.04,1.1788,27.1302
18,Chicken Wings 500g,Food,Light Meals,Star,3388598.88,20962,161.65,-20459.05,-0.6,1.1509,28.2811
19,Gourmet Beef Burger,Food,Light Meals,Star,3317361.99,20888,158.82,-14638.32,-0.44,1.1267,29.4078
20,Chalmar Beef Fillet 300g,Food,Main Specials,Star,3296064.95,10242,321.82,-13877.14,-0.42,1.1195,30.5273
21,Lamb Curry,Food,Main Salad,Star,3116044.6799999997,10184,305.97,-28633.96,-0.91,1.0584,31.5857
22,French Fries,Food,Side Orders,Star,3109456.04,64746,48.03,-17687.55,-0.57,1.0561,32.6418
23,Hennessy VSOP 750ml,Beverage,Ent - Cognac,Star,3023454.04,1079,2802.09,-48471.78999999999,-1.58,1.0269,33.6687
24,Goat Tagine,Food,Main Grill,Star,2896925.46,9288,311.9,-49542.259999999995,-1.68,0.9839,34.6526
25,San Wrap Grilled,Food,Light Meals,Star,2859548.8,18252,156.67,-14888.99,-0.52,0.9712,35.6238
26,Acqua Panna 750ml,Beverage,Ent - Minerals Water,Star,2755174.26,37830,72.83,-31719.2,-1.14,0.9358,36.5596
27,Pasta Alfredo,Food,Main Pasta,Star,2674945.3600000003,16310,164.01,-10388.36,-0.39,0.9085,37.4681
28,Pasta Peppa Dew Chicken,Food,Main Pasta,Star,2573350.44,15611,164.84,-10892.84,-0.42,0.874,38.3421
29,Coke Can 300ml,Beverage,Ent - Minerals Softdrinks,Star,2507056.12,63666,39.38,-10371.71,-0.41,0.8515,39.1936
30,Grilled Prawn Tagliatelle,Food,Main Pasta,Star,2373778.13,9863,240.68,-14818.150000000001,-0.62,0.8062,39.9998
